Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
3dg0102,,"<table class=""table-bordered"">
<tbody>
<tr>
<td><strong>1. </strong><strong>T-SHIRT</strong><br /><br />A favorite in any wardrobe, this super comfy tee has the ring spun cotton feel that everyone will love.<strong><br /><br />KEY FEATURES:</strong><br /><br />
<ul>
<li>Preshrunk 50% cotton/ 50% polyester</li>
<li>Blended cotton/polyester in antique, heather, neon, and safety colors</li>
<li>5.3 oz.</li>
<li>Seamless double needle 7/8"" collar</li>
<li>Taped neck and shoulders</li>
<li>Double needle sleeve and bottom hems</li>
</ul>
<strong>CARE INSTRUCTIONS:</strong><br /><br />Machine wash warm, inside out, with like colors. Only non chlorine bleach. Tumble dry medium. Do not iron. Do not dry clean.</td>
</tr>
<tr>
<td><strong>2. TANK TOP</strong><br /><br />
<ul>
<li>40% cotton, 60% polyester</li>
<li>6 oz</li>
<li>Banded neck and armholes</li>
<li>Double needle</li>
</ul>
</td>
</tr>
<tr>
<td><strong>3. POLO SHIRT</strong><br /><br />One of our best selling jersey polo's- a real uniform value in each and every detail<br /><strong><br />KEY FEATURES:</strong><br /><br />
<ul>
<li>Preshrunk 50% cotton/ 50% polyester</li>
<li>6 oz</li>
<li>Welt collar and cuffs</li>
<li>3 plastic buttons</li>
<li>Double needle bottom hem</li>
</ul>
<strong>CARE INSTRUCTIONS:</strong><br /><br />Machine wash warm, inside out, with like colors. Only non chlorine bleach. Tumble dry medium. Do not iron. Do not dry clean</td>
</tr>
<tr>
<td><strong>4. BASEBALL JERSEY</strong><br /><br />
<ul>
<li>Material: 10% Cotton / 90% Polyester</li>
<li>Heavy double knit polyester jersey</li>
<li>Rounded hem</li>
<li>Machine wash</li>
<li>Tagless Collar</li>
</ul>
</td>
</tr>
<tr>
<td><strong>5. VARSITY JACKETS</strong><br /><br />
<ul>
<li>Material: Cotton, Polyester and Heather</li>
<li>Plastic buttons on left side, all-over printed</li>
<li>No leather material for arms</li>
<li>Snap closure</li>
<li>Contrast sleeves</li>
<li>Knitted collar, cuffs and waistband with stripe details</li>
<li>Press-stud closure</li>
<li>Contrast studs</li>
<li>Welt contrast pockets</li>
<li>Hand washing and machine washable</li>
<li>This product is not completely suitable for winter (Our fleece jacket is better choice for winter)</li>
</ul>
</td>
</tr>
<tr>
<td><strong>6. SWEATSHIRT</strong><br /><br />The best selling Long Sleeve tee, in quality jersey<strong><br /><br />KEY FEATURES:</strong><br /><br />
<ul>
<li>Preshrunk 50% cotton/ 50% polyester</li>
<li>Blended cotton/polyester in heather and safety colors</li>
<li>6 oz</li>
<li>Seamless double needle 7/8"" collar</li>
<li>Taped neck and shoulders</li>
<li>Ribbed cuffs</li>
<li>Double needle bottom hem</li>
<li>Quarter turned to eliminate center crease</li>
</ul>
<ul>
<li><strong>CARE INSTRUCTIONS:</strong></li>
</ul>
Machine wash warm, inside out, with like colors. Only non chlorine bleach. Tumble dry medium. Do not iron. Do not dry clean.</td>
</tr>
<tr>
<td><strong>7. HOODIES</strong><br /><br />Soft and pill free, so hoodies will be a walking billboard for years<strong><br /><br />KEY FEATURES:</strong><br /><br />
<ul>
<li>Preshrunk 50% cotton/ 50% polyester</li>
<li>8 oz.</li>
<li>Double lined hood with matching drawcord</li>
<li>1x1 rib with spandex</li>
<li>Double needle cuffs and waistband</li>
<li>Pouch pocket</li>
<li>Quarter turned to eliminate center crease</li>
</ul>
<strong>CARE INSTRUCTIONS:</strong><br /><br />Machine wash warm, inside out, with like colors. Only non chlorine bleach. Tumble dry medium. Do not iron. Do not dry clean</td>
</tr>
<tr>
<td><strong>8. BOMBER JACKETS</strong><strong><br /><br />PERFECT BLEND OF SOFTNESS AND QUALITY:</strong> The best ratio for a jacket like this is 65% cotton and 35% polyester; with lining soft as a feather to the touch, while keeping you warm and insulated on the inside!<strong><br /><br />SUPER SPACIOUS POCKETS:</strong> Fits all your daily carries, and keeps them safe. Not only can you fit your phone, earbuds, keys and your wallet safe; you can fit all that and still keep your hands warm inside!<strong><br /><br />TOP-SHELF METAL ZIPPER:</strong> Fully reinforced to secure your jacket and keep the cold out, while keeping intact and moving smoothly even in the harshest cold!<strong><br /><br />HANDMADE BY EXPERT CRAFTSMEN:</strong> Every single stitch and every single thread used in constructing this incredible jackets are inspected carefully; using only the finest materials!</td>
</tr>
<tr>
<td><strong>9. FLEECE JACKET</strong><br /><strong><br />ULTRA-SOFT FLEECE LINING:</strong> Just rub your hand on the inside, and feel the incredibly soft, thick lining that&rsquo;ll make you want to wear it every single cold day!<br /><strong><br />SUPER SPACIOUS POCKETS:</strong> Fits all your daily carries, and keeps them safe. Not only can you fit your phone, earbuds, keys and your wallet safe; you can fit all that and still keep your hands warm inside!<br /><strong><br />FULL HEAD PROTECTION:</strong> Fleece-lined all along the inside of the hood, meaning that your entire head is protected from icy winter wind and freezing temperatures!<br /><strong><br />TOP-SHELF METAL ZIPPER:</strong> Fully reinforced to secure your jacket and keep the cold out, while keeping intact and moving smoothly even in the harshest cold!<br /><strong><br />HANDMADE BY EXPERT CRAFTSMEN:</strong> Every single stitch and every single thread used in constructing this incredible jackets are inspected carefully; using only the finest materials!<br /><strong><br />PERFECT BLEND OF SOFTNESS AND QUALITY:</strong> The best ratio for a jacket like this is 65% cotton and 35% polyester; with lining soft as a feather to the touch, while keeping you warm and insulated on the inside!</td>
</tr>
<tr>
<td><strong>10. SHORT PANT &amp; LONG PANT<br /><br /></strong>
<ul>
<li>Material: 100% Polyester, Comfy and Stylish Athletic Mesh Pants.</li>
<li>Elastic Waist: Adjustable Elastic Waist with External Drawstring to fit any body form,for a comfortable Fit,Freely Movement.</li>
<li>Feature: Skin Friendly, Nearly skin and no irritation. Lightweight Breathable and Soft Fabric provides you cool feeling. Quick-Drying Function allows moisture to evaporate quickly and stay away from your skin,which makes you cozy in sports</li>
</ul>
</td>
</tr>
</tbody>
</table>",,Alfa Romeo,"Alfa Romeo,sc-10056305-3d-unisex-995",TRUE,Products,T Shirt,Size,S,,,3DG0102-T Shirt-S,0,,0,continue,manual,34.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-T%20Shirt.jpg,kg,,
3dg0102,,,,,,,,T Shirt,,M,,,3DG0102-T Shirt-M,0,,0,continue,manual,34.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-T%20Shirt.jpg,kg,,
3dg0102,,,,,,,,T Shirt,,L,,,3DG0102-T Shirt-L,0,,0,continue,manual,34.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-T%20Shirt.jpg,kg,,
3dg0102,,,,,,,,T Shirt,,XL,,,3DG0102-T Shirt-XL,0,,0,continue,manual,34.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-T%20Shirt.jpg,kg,,
3dg0102,,,,,,,,T Shirt,,2XL,,,3DG0102-T Shirt-2XL,0,,0,continue,manual,34.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-T%20Shirt.jpg,kg,,
3dg0102,,,,,,,,T Shirt,,3XL,,,3DG0102-T Shirt-3XL,0,,0,continue,manual,34.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-T%20Shirt.jpg,kg,,
3dg0102,,,,,,,,T Shirt,,4XL,,,3DG0102-T Shirt-4XL,0,,0,continue,manual,34.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-T%20Shirt.jpg,kg,,
3dg0102,,,,,,,,T Shirt,,5XL,,,3DG0102-T Shirt-5XL,0,,0,continue,manual,34.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-T%20Shirt.jpg,kg,,
3dg0102,,,,,,,,T Shirt,,6XL,,,3DG0102-T Shirt-6XL,0,,0,continue,manual,34.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-T%20Shirt.jpg,kg,,
3dg0102,,,,,,,,Polo Shirt,,S,,,3DG0102-Polo Shirt-S,0,,0,continue,manual,41.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Polo%20Shirt.jpg,kg,,
3dg0102,,,,,,,,Polo Shirt,,M,,,3DG0102-Polo Shirt-M,0,,0,continue,manual,41.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Polo%20Shirt.jpg,kg,,
3dg0102,,,,,,,,Polo Shirt,,L,,,3DG0102-Polo Shirt-L,0,,0,continue,manual,41.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Polo%20Shirt.jpg,kg,,
3dg0102,,,,,,,,Polo Shirt,,XL,,,3DG0102-Polo Shirt-XL,0,,0,continue,manual,41.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Polo%20Shirt.jpg,kg,,
3dg0102,,,,,,,,Polo Shirt,,2XL,,,3DG0102-Polo Shirt-2XL,0,,0,continue,manual,41.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Polo%20Shirt.jpg,kg,,
3dg0102,,,,,,,,Polo Shirt,,3XL,,,3DG0102-Polo Shirt-3XL,0,,0,continue,manual,41.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Polo%20Shirt.jpg,kg,,
3dg0102,,,,,,,,Polo Shirt,,4XL,,,3DG0102-Polo Shirt-4XL,0,,0,continue,manual,41.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Polo%20Shirt.jpg,kg,,
3dg0102,,,,,,,,Polo Shirt,,5XL,,,3DG0102-Polo Shirt-5XL,0,,0,continue,manual,41.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Polo%20Shirt.jpg,kg,,
3dg0102,,,,,,,,Polo Shirt,,6XL,,,3DG0102-Polo Shirt-6XL,0,,0,continue,manual,41.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Polo%20Shirt.jpg,kg,,
3dg0102,,,,,,,,Baseball Jersey,,S,,,3DG0102-Baseball Jersey-S,0,,0,continue,manual,45.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Baseball%20Jersey.jpg,kg,,
3dg0102,,,,,,,,Baseball Jersey,,M,,,3DG0102-Baseball Jersey-M,0,,0,continue,manual,45.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Baseball%20Jersey.jpg,kg,,
3dg0102,,,,,,,,Baseball Jersey,,L,,,3DG0102-Baseball Jersey-L,0,,0,continue,manual,45.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Baseball%20Jersey.jpg,kg,,
3dg0102,,,,,,,,Baseball Jersey,,XL,,,3DG0102-Baseball Jersey-XL,0,,0,continue,manual,45.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Baseball%20Jersey.jpg,kg,,
3dg0102,,,,,,,,Baseball Jersey,,2XL,,,3DG0102-Baseball Jersey-2XL,0,,0,continue,manual,45.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Baseball%20Jersey.jpg,kg,,
3dg0102,,,,,,,,Baseball Jersey,,3XL,,,3DG0102-Baseball Jersey-3XL,0,,0,continue,manual,45.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Baseball%20Jersey.jpg,kg,,
3dg0102,,,,,,,,Baseball Jersey,,4XL,,,3DG0102-Baseball Jersey-4XL,0,,0,continue,manual,45.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Baseball%20Jersey.jpg,kg,,
3dg0102,,,,,,,,Baseball Jersey,,5XL,,,3DG0102-Baseball Jersey-5XL,0,,0,continue,manual,45.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Baseball%20Jersey.jpg,kg,,
3dg0102,,,,,,,,Baseball Jersey,,6XL,,,3DG0102-Baseball Jersey-6XL,0,,0,continue,manual,45.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Baseball%20Jersey.jpg,kg,,
3dg0102,,,,,,,,Tank Top,,S,,,3DG0102-Tank Top-S,0,,0,continue,manual,32.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Tank%20Top.jpg,kg,,
3dg0102,,,,,,,,Tank Top,,M,,,3DG0102-Tank Top-M,0,,0,continue,manual,32.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Tank%20Top.jpg,kg,,
3dg0102,,,,,,,,Tank Top,,L,,,3DG0102-Tank Top-L,0,,0,continue,manual,32.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Tank%20Top.jpg,kg,,
3dg0102,,,,,,,,Tank Top,,XL,,,3DG0102-Tank Top-XL,0,,0,continue,manual,32.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Tank%20Top.jpg,kg,,
3dg0102,,,,,,,,Tank Top,,2XL,,,3DG0102-Tank Top-2XL,0,,0,continue,manual,32.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/3DG0102-Tank%20Top.jpg,kg,,
